Sample Time,Signal Value
4.41,0.39077949
4.42,-0.133154407
4.43,-0.598090169
4.44,-0.744180841
4.45,-0.456542144
4.46,0.100661226
4.47,0.639759368
4.48,1.000298764
4.49,1.19214977
4.5,1.225226694
4.51,1.008865016
4.52,0.487137612
4.53,-0.178750375
4.54,-0.664155469
4.55,-0.748135337
4.56,-0.481238921
4.57,-0.065509784
4.58,0.370958088
4.59,0.809288951
4.6,1.179862146
4.61,1.286323601
4.62,0.973273115
4.63,0.339787967
4.64,-0.294600006
4.65,-0.656367547
4.66,-0.704504776
4.67,-0.541186182
4.68,-0.217805133
4.69,0.277589614
4.7,0.852024273
4.71,1.239660191
4.72,1.192191385
4.73,0.723302594
4.74,0.103121472
4.75,-0.392954165
4.76,-0.673835512
4.77,-0.762224589
4.78,-0.627404718
4.79,-0.198752919
4.8,0.447782195
4.81,1.016794938
4.82,1.194587719
4.83,0.917210935
4.84,0.39251512
4.85,-0.130355536
4.86,-0.54409527
4.87,-0.821042443
4.88,-0.864468679
4.89,-0.544395179
4.9,0.096267388
4.91,0.758060259
4.92,1.088761629
4.93,0.967089572
4.94,0.54692168
4.95,0.045852599
4.96,-0.429115545
4.97,-0.822307952
4.98,-0.992442766
4.99,-0.764622848
5,-0.152251965
5.01,0.549197677
5.02,0.96594565
5.03,0.940116619
5.04,0.589933301
5.05,0.111851708
5.06,-0.388120015
5.07,-0.837989667
5.08,-1.071137248
5.09,-0.888515848
5.1,-0.289647975
5.11,0.428798161
5.12,0.878810955
5.13,0.88369587
5.14,0.548491263
5.15,0.068001971
5.16,-0.443277132
5.17,-0.90136189
5.18,-1.131392842
5.19,-0.934237861
5.2,-0.31785835
5.21,0.407788413
5.22,0.843577047
5.23,0.811671296
5.24,0.429812458
5.25,-0.084616384
5.26,-0.595719255
5.27,-1.011477964
5.28,-1.168602351
5.29,-0.895997613
5.3,-0.235216975
5.31,0.47883547
5.32,0.843076551
5.33,0.702110387
5.34,0.216932184
5.35,-0.347811691
5.36,-0.826865448
5.37,-1.133023624
5.38,-1.143381936
5.39,-0.747575103
5.4,-0.042933377
5.41,0.609395935
5.42,0.823472446
5.43,0.501304088
5.44,-0.119309063
5.45,-0.709773909
5.46,-1.084239822
5.47,-1.191871523
5.48,-0.991122535
5.49,-0.464150555
5.5,0.228813892
5.51,0.722857605
5.52,0.692583534
5.53,0.142573652
5.54,-0.586958941
5.55,-1.110999931
5.56,-1.262565899
5.57,-1.082085861
5.58,-0.654579608
5.59,-0.067844769
5.6,0.482720974
5.61,0.686850792
5.62,0.343059792
5.63,-0.403309366
5.64,-1.117010423
5.65,-1.409567734
5.66,-1.209406216
5.67,-0.713195926
5.68,-0.153593246
5.69,0.31244026
5.7,0.535170289
5.71,0.348382752
5.72,-0.270283417
5.73,-1.043183158
5.74,-1.512898765
5.75,-1.394116224
5.76,-0.801561827
5.77,-0.117741201
5.78,0.327750641
5.79,0.420822158
5.8,0.180277757
5.81,-0.341894367
5.82,-1.003447305
5.83,-1.496712004
5.84,-1.487794544
5.85,-0.914645441
5.86,-0.111603327
5.87,0.428847024
5.88,0.434810187
5.89,-0.003247189
5.9,-0.609371695
5.91,-1.146816602
5.92,-1.455310371
5.93,-1.390575934
5.94,-0.888283112
5.95,-0.131876149
5.96,0.445077977
5.97,0.450930594
5.98,-0.128586539
5.99,-0.911490767
6,-1.441529775
6.01,-1.508209492
6.02,-1.178373102
6.03,-0.626906152
6.04,-0.040532718
6.05,0.344788802
6.06,0.273915129
6.07,-0.320376621
6.08,-1.143814786
6.09,-1.68028191
6.1,-1.588086773
6.11,-0.968884876
6.12,-0.243810081
6.13,0.199321256
6.14,0.218463709
6.15,-0.135630242
6.16,-0.73361299
6.17,-1.360802175
6.18,-1.695079586
6.19,-1.467518693
6.2,-0.734815018
6.21,0.058916948
6.22,0.389525574
6.23,0.06747202
6.24,-0.647080375
6.25,-1.30782762
6.26,-1.610739025
6.27,-1.488332781
6.28,-1.015911441
6.29,-0.361690308
6.3,0.178388916
6.31,0.253991246
6.32,-0.27596548
6.33,-1.131715271
6.34,-1.753139881
6.35,-1.732912267
6.36,-1.132281915
6.37,-0.381107707
6.38,0.089928254
6.39,0.101899022
6.4,-0.292689271
6.41,-0.924385513
6.42,-1.532442808
6.43,-1.782522019
6.44,-1.445206389
6.45,-0.650010847
6.46,0.098877169
6.47,0.276583511
6.48,-0.232344563
6.49,-1.052139809
6.5,-1.649409713
6.51,-1.727054207
6.52,-1.332073598
6.53,-0.704159153
6.54,-0.125616957
6.55,0.124303601
6.56,-0.151888026
6.57,-0.88663347
6.58,-1.658815603
6.59,-1.928061094
6.6,-1.47278452
6.61,-0.61000508
6.62,0.054245469
6.63,0.110052371
6.64,-0.396227631
6.65,-1.102515185
6.66,-1.631077523
6.67,-1.752823127
6.68,-1.403951888
6.69,-0.713696105
6.7,-0.042645865
6.71,0.151854874
6.72,-0.341631662
6.73,-1.233992904
6.74,-1.896467552
6.75,-1.86017406
6.76,-1.19121962
6.77,-0.39223069
