sample,x,y_orig_r,y_orig_i,y_filt_r,y_filt_i
364,  3.6400,  1.6258,  0.0000,  0.7541,  0.0000
365,  3.6500,  1.4867,  0.0000,  0.5938,  0.0000
366,  3.6600,  1.2168,  0.0000,  0.3097,  0.0000
367,  3.6700,  0.7456,  0.0000, -0.1638,  0.0000
368,  3.6800,  0.1843,  0.0000, -0.7114,  0.0000
369,  3.6900, -0.2134,  0.0000, -1.0809,  0.0000
370,  3.7000, -0.2897,  0.0000, -1.1226,  0.0000
371,  3.7100, -0.1164,  0.0000, -0.9172,  0.0000
372,  3.7200,  0.1430,  0.0000, -0.6335,  0.0000
373,  3.7300,  0.4421,  0.0000, -0.3193,  0.0000
374,  3.7400,  0.8472,  0.0000,  0.0893,  0.0000
375,  3.7500,  1.3386,  0.0000,  0.5704,  0.0000
376,  3.7600,  1.7173,  0.0000,  0.9256,  0.0000
377,  3.7700,  1.7705,  0.0000,  0.9493,  0.0000
378,  3.7800,  1.4937,  0.0000,  0.6475,  0.0000
379,  3.7900,  1.0791,  0.0000,  0.2192,  0.0000
380,  3.8000,  0.6901,  0.0000, -0.1706,  0.0000
381,  3.8100,  0.3266,  0.0000, -0.5231,  0.0000
382,  3.8200, -0.0542,  0.0000, -0.8819,  0.0000
383,  3.8300, -0.3552,  0.0000, -1.1509,  0.0000
384,  3.8400, -0.3755,  0.0000, -1.1353,  0.0000
385,  3.8500, -0.0385,  0.0000, -0.7684,  0.0000
386,  3.8600,  0.4908,  0.0000, -0.2235,  0.0000
387,  3.8700,  0.9631,  0.0000,  0.2483,  0.0000
388,  3.8800,  1.2752,  0.0000,  0.5480,  0.0000
389,  3.8900,  1.4821,  0.0000,  0.7347,  0.0000
390,  3.9000,  1.6038,  0.0000,  0.8319,  0.0000
391,  3.9100,  1.5229,  0.0000,  0.7264,  0.0000
392,  3.9200,  1.1315,  0.0000,  0.3186,  0.0000
393,  3.9300,  0.5303,  0.0000, -0.2831,  0.0000
394,  3.9400, -0.0072,  0.0000, -0.8036,  0.0000
395,  3.9500, -0.2799,  0.0000, -1.0472,  0.0000
396,  3.9600, -0.3065,  0.0000, -1.0410,  0.0000
397,  3.9700, -0.2046,  0.0000, -0.9084,  0.0000
398,  3.9800,  0.0094,  0.0000, -0.6697,  0.0000
399,  3.9900,  0.4114,  0.0000, -0.2532,  0.0000
400,  4.0000,  0.9727,  0.0000,  0.3073,  0.0000
401,  4.0100,  1.4677,  0.0000,  0.7851,  0.0000
402,  4.0200,  1.6465,  0.0000,  0.9369,  0.0000
403,  4.0300,  1.4695,  0.0000,  0.7336,  0.0000
404,  4.0400,  1.1066,  0.0000,  0.3537,  0.0000
405,  4.0500,  0.7189,  0.0000, -0.0390,  0.0000
406,  4.0600,  0.3193,  0.0000, -0.4312,  0.0000
407,  4.0700, -0.1147,  0.0000, -0.8452,  0.0000
408,  4.0800, -0.4650,  0.0000, -1.1639,  0.0000
409,  4.0900, -0.5139,  0.0000, -1.1760,  0.0000
410,  4.1000, -0.1767,  0.0000, -0.8077,  0.0000
411,  4.1100,  0.3757,  0.0000, -0.2388,  0.0000
412,  4.1200,  0.8760,  0.0000,  0.2611,  0.0000
413,  4.1300,  1.1984,  0.0000,  0.5704,  0.0000
414,  4.1400,  1.3828,  0.0000,  0.7344,  0.0000
415,  4.1500,  1.4495,  0.0000,  0.7773,  0.0000
416,  4.1600,  1.2954,  0.0000,  0.6015,  0.0000
417,  4.1700,  0.8364,  0.0000,  0.1310,  0.0000
418,  4.1800,  0.1994,  0.0000, -0.5001,  0.0000
419,  4.1900, -0.3199,  0.0000, -0.9960,  0.0000
420,  4.2000, -0.5106,  0.0000, -1.1529,  0.0000
421,  4.2100, -0.4028,  0.0000, -1.0111,  0.0000
422,  4.2200, -0.1475,  0.0000, -0.7285,  0.0000
423,  4.2300,  0.1912,  0.0000, -0.3724,  0.0000
424,  4.2400,  0.6453,  0.0000,  0.0861,  0.0000
425,  4.2500,  1.1598,  0.0000,  0.5900,  0.0000
426,  4.2600,  1.5094,  0.0000,  0.9159,  0.0000
427,  4.2700,  1.4727,  0.0000,  0.8514,  0.0000
428,  4.2800,  1.0622,  0.0000,  0.4210,  0.0000
429,  4.2900,  0.5146,  0.0000, -0.1312,  0.0000
430,  4.3000,  0.0528,  0.0000, -0.5818,  0.0000
431,  4.3100, -0.2745,  0.0000, -0.8860,  0.0000
432,  4.3200, -0.4963,  0.0000, -1.0770,  0.0000
